country,year,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop,cumulative_cases,cumulative_deaths
Netherlands,2021,Europe,5,7.464,0.942,72.4,0.913,0.338,0.175,1.111370063,1.099103251,1.074827668,2.180277761,1.266292783,1.298850682,41850,17173,1012668,6477
Sweden,2021,Europe,7,7.363,0.934,72.7,0.945,0.237,0.086,1.041502803,1.143618171,1.358136769,2.74571169,0.673553334,1.242559345,450295,10160,656987,4992
Germany,2021,Europe,13,7.155,0.903,72.5,0.875,0.46,0.011,0.770767171,1.113941557,0.738398111,1.497278362,0.174053798,1.247755468,357114,83900,2025490,58292
Canada,2021,North America,14,7.103,0.926,73.8,0.915,0.415,0.089,0.971635543,1.306839544,1.092534487,1.74920437,0.693533315,1.163751473,9984670,38068,857412,11114
United Kingdom,2021,Europe,17,7.064,0.934,72.5,0.859,0.459,0.233,1.041502803,1.113941557,0.596743561,1.502876718,1.652572424,1.103996053,242900,68207,2901342,56160
Czech Republic,2021,Europe,18,6.965,0.947,70.807,0.858,0.868,-0.208,1.155037101,0.862729026,0.587890151,-0.786850777,-1.284484846,0.973226947,78865,10725,952162,18491
United States,2021,North America,19,6.951,0.92,68.2,0.837,0.698,0.098,0.919235099,0.475894371,0.401968554,0.164869698,0.753473259,1.377658555,9372610,332915,14209824,258392
Belgium,2021,Europe,20,6.834,0.906,72.199,0.783,0.646,-0.153,0.796967394,1.069278254,-0.076115553,0.455984196,-0.918185187,1.20445444,30528,11632,455538,5576
France,2021,Europe,21,6.69,0.942,74,0.822,0.571,-0.147,1.111370063,1.336516157,0.269167413,0.875860876,-0.878225224,1.101397991,551695,65426,3184648,46493
Spain,2021,Europe,27,6.491,0.932,74.7,0.761,0.745,-0.081,1.024035988,1.440384304,-0.27089056,-0.098253022,-0.438665633,0.986217255,505992,46745,2116881,27309
Italy,2021,Europe,28,6.483,0.88,73.8,0.693,0.866,-0.084,0.569898799,1.306839544,-0.872922399,-0.775654065,-0.458645614,1.031250325,301336,60367,2203769,54263
Brazil,2021,South America,35,6.33,0.882,66.601,0.804,0.756,-0.071,0.587365614,0.238629847,0.109806044,-0.159834935,-0.372065694,0.125392804,8515767,213993,11778897,348585
Mexico,2021,North America,36,6.317,0.831,68.597,0.862,0.799,-0.147,0.141961832,0.534802448,0.623303789,-0.400564231,-0.878225224,0.369610606,1964375,130262,1253170,112395
Chile,2021,South America,43,6.172,0.882,70,0.742,0.83,-0.044,0.587365614,0.742983891,-0.439105339,-0.574113259,-0.192245862,0.553206968,756102,19212,993929,18015
