,year,country,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area,pop
613,2018,Zimbabwe,Africa,144,3.6919999999999997,1.094,0.248,0.406,0.099,0.132,-0.395609538,-1.415594987,-0.29960188600000004,-0.135163227,-0.499278403,-1.368056433,390757,14439.0
771,2019,Zimbabwe,Africa,146,3.6630000000000003,1.114,0.433,0.361,0.08900000000000001,0.151,-0.31792178,-1.210886972,-0.221036405,-0.229243008,-0.356467995,-1.357676027,390757,14645.0
932,2020,Zimbabwe,Africa,151,3.2992000580000003,0.7630927559999999,55.61725998,0.711457908,0.81023699,-0.072063953,-0.37691995,-1.254952274,-0.612451744,-0.441679256,-0.37998111700000003,-1.193995451,390757,14863.0
1082,2021,Zimbabwe,Africa,148,3.145,0.75,56.201,0.677,0.821,-0.047,-0.565444175,-1.304554047,-1.014576949,-0.523728057,-0.212225843,-1.2896848140000001,390757,15092.0
152,2015,Afghanistan,Asia,153,3.575,0.30285,0.30335,0.23414000000000001,0.09719,0.3651,-2.534737651,-1.32731015,-1.29464262,-0.386380596,1.012045112,-1.309758147,652230,34414.0
311,2016,Afghanistan,Asia,154,3.36,0.11037000000000001,0.17344,0.1643,0.07112,0.31268,-2.570013963,-1.6804434940000001,-1.425056106,-0.6008449779999999,0.5253551439999999,-1.389833619,652230,35383.0
455,2017,Afghanistan,Asia,141,3.79399991,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,-2.121134116,-1.5682753809999999,-2.023952087,-0.611478156,0.483736051,-1.390545858,652230,36296.0
614,2018,Afghanistan,Asia,145,3.6319999999999997,0.537,0.255,0.085,0.036000000000000004,0.191,-2.243644804,-1.387230098,-2.282271904,-0.790185021,0.10181491599999999,-1.432050245,652230,37172.0
779,2019,Afghanistan,Asia,154,3.2030000000000003,0.517,0.361,0.0,0.025,0.158,-2.319726341,-1.509212975,-2.748525983,-0.908400929,-0.282743933,-1.397967077,652230,38042.0
934,2020,Afghanistan,Asia,153,2.566900015,0.470366955,52.59000015,0.39657300700000003,0.9336865540000001,-0.0964294,-2.7950281039999996,-1.6852819940000001,-3.294590003,-1.1487253659999999,-0.541009134,-1.5303621330000001,652230,38928.0
1083,2021,Afghanistan,Asia,149,2.523,0.46299999999999997,52.493,0.382,0.924,-0.102,-3.071932125,-1.854758458,-3.6263327210000003,-1.100358698,-0.5785255029999999,-1.504457916,652230,39835.0
