year,country,region,rank,score,social_support,health,freedom,trust,generosity,social_support_std,health_std,freedom_std,trust_std,generosity_std,gdp_std,total_area
2015,Taiwan,Asia,38,6.298,1.07617,0.8753,0.3974,0.08129,0.25376,0.313525728,0.994908535,-0.20780152,-0.519264169,0.130377343,1.107006279,36193
2015,Kuwait,Africa,39,6.295,1.16594,0.72492,0.55499,0.25609,0.16228,0.644163244,0.384338999,0.84129372,0.941619387,-0.594025095,1.7620879,17818
2015,Suriname,South America,40,6.269,0.972,0.6082,0.59657,0.13633,0.16991,-0.07014933,-0.089564952,1.11809669,-0.059269713,-0.533605434,0.371296164,163820
2015,Trinidad and Tobago,South America,41,6.168,1.18354,0.61483,0.55884,0.0114,0.31844,0.708986907,-0.062645974,0.866923625,-1.103366868,0.642558691,0.910038833,5130
2015,El Salvador,South America,42,6.13,1.02507,0.67737,0.4035,0.11776,0.10692,0.125316114,0.191277545,-0.1671931,-0.214467697,-1.032404184,-0.203057423,21041
2015,Guatemala,South America,43,6.123,1.04356,0.64425,0.57733,0.09472,0.27489,0.193417793,0.056804457,0.990013738,-0.407023516,0.297699419,-0.250364449,108889
2015,Uzbekistan,Europe,44,6.003,1.34043,0.59772,0.65821,0.30826,0.22837,1.286838303,-0.132115615,1.52844145,1.377627941,-0.070678384,-0.53179273,447400
2015,Slovakia,Europe,45,5.995,1.26999,0.78902,0.31751,0.03431,0.16893,1.027396323,0.644596395,-0.739638684,-0.911897518,-0.541365758,0.803230965,49037
2015,Japan,Asia,46,5.987,1.25712,0.99111,0.49615,0.1806,0.10705,0.979994019,1.465117724,0.449588892,0.310714927,-1.031374753,1.056638356,377930
2015,South Korea,Asia,47,5.984,0.95774,0.96538,0.33208,0.07857,0.18557,-0.12267123,1.36064935,-0.642644474,-0.541996453,-0.409598633,0.991612969,100210
2015,Ecuador,South America,48,5.975,0.99903,0.79075,0.48574,0.1809,0.11541,0.029406557,0.651620503,0.380288292,0.313222164,-0.965174443,0.044501913,276841
2015,Bahrain,Africa,49,5.96,1.21624,0.74716,0.45492,0.306,0.17362,0.829426328,0.474637353,0.175115913,1.358740087,-0.504227067,1.188580414,765
2015,Italy,Europe,50,5.948,1.19777,0.95446,0.26236,0.02901,0.22823,0.761398313,1.316312208,-1.106778747,-0.956192043,-0.071787001,1.007863094,301336
2015,Bolivia,South America,51,5.89,0.97841,0.5392,0.57414,0.088,0.20536,-0.046540257,-0.36971722,0.968777532,-0.46318563,-0.252887611,-0.410128315,1098581
2015,Moldova,Europe,52,5.889,1.01528,0.61826,0.32818,0.01615,0.20951,0.089257951,-0.048719564,-0.668607234,-1.063668945,-0.220025017,-0.626257471,33846
2015,Paraguay,South America,53,5.878,1.30477,0.66098,0.53899,0.08242,0.3424,1.155496721,0.124731231,0.734779831,-0.509820242,0.832290681,-0.214728646,406752
2015,Kazakhstan,Europe,54,5.855,1.12241,0.64368,0.51649,0.08454,0.11827,0.483835171,0.054490156,0.584994674,-0.492102432,-0.942526968,0.687837656,2724900
2015,Slovenia,Europe,55,5.848,1.27385,0.87337,0.60855,0.03787,0.25328,1.041613331,0.987072391,1.197848965,-0.88214497,0.126576369,0.843221702,20273
2015,Lithuania,Europe,56,5.833,1.25745,0.73128,0.21342,0.01031,0.02641,0.981209462,0.41016173,-1.432578106,-1.112476496,-1.669938512,0.749279554,65300
2015,Nicaragua,South America,57,5.828,1.14184,0.74314,0.55475,0.19317,0.27815,0.555399023,0.458315438,0.839696012,0.415768167,0.323514373,-0.629318367,130373
2015,Peru,South America,58,5.824,0.97459,0.73017,0.41496,0.05989,0.14982,-0.060609939,0.405654932,-0.090902526,-0.698113758,-0.692692065,0.134512179,1285216
2015,Belarus,Europe,59,5.813,1.23289,0.73608,0.37938,0.1909,0.11046,0.890750987,0.429650583,-0.327762788,0.396796738,-1.004371995,0.462326728,207600
2015,Poland,Europe,60,5.791,1.27948,0.77903,0.53122,0.04212,0.16759,1.062349537,0.604035219,0.683054023,-0.846625776,-0.551976812,0.695328142,312679
