year,country,region,rank,score,gdp,social_support,health,freedom,trust,generosity,dystopia,Logged GDP per capita,social_support_std,health_std,freedom_std,trust_std,generosity_std,dystopia_std,gdp_std,score_std
2015,Switzerland,Western Europe,1,7.5870000000000015,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678000000000004,2.51738,,1.3202814206412972,1.2634080915382662,1.57743783879044,2.309651591604854,0.4710397056619037,0.7582580880063129,1.3696212439986157,1.9373600501113446
2015,Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,,1.514457758194011,1.2894338311493252,1.3324558930104318,-0.01647953074480927,1.575856367589956,1.0928568230797204,1.1352262511271294,1.914580626315312
2015,Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,,1.3610540317321267,0.9922288171821627,1.4696590968834207,2.8427738001152014,0.8242927968933429,0.7123352588520037,1.192860692521159,1.884792149043579
2015,Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,,1.25192192092623,1.0351448963847982,1.605131450052528,1.8520807981271692,0.8686375023606385,0.6638933794796793,1.5251297173454594,1.8804114906212654
2015,Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,,1.2212043440068514,1.1180537267838346,1.360415788996194,1.555725358187101,1.7485631579902627,0.6393371705198967,1.1948764048497065,1.7971789805973046
2015,Finland,Western Europe,6,7.4060000000000015,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,,1.2051825862611323,1.0509795897519012,1.4184658587571086,2.2590053996692414,-0.029976279144489183,0.9434173403621053,1.1051896488980304,1.7787802152235888
2015,Netherlands,Western Europe,7,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,,1.064890919011837,1.0661240528953095,1.2458467866354896,1.4601996199323082,1.8910205243039502,0.6646001633537983,1.202715286127392,1.75424852805863
2015,Sweden,Western Europe,8,7.364,1.33171,1.2890700000000002,0.91087,0.6598,0.43844,0.36262,2.3711900000000004,,1.0976710670433083,1.1393290583847622,1.539026267400477,2.4656017469709473,0.9924067427988226,0.4933228711922446,1.2083642577148033,1.7419826844761521
2015,New Zealand,Australia and New Zealand,9,7.286,1.2501799999999998,1.31967,0.90837,0.6393800000000001,0.42922,0.47501,2.26425,,1.2103758456683649,1.1291786139186708,1.4030879159649403,2.3885459896035637,1.882389144132637,0.29951910837607,1.0054741019783948,1.6736444130880581
2015,Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.35637,0.43562,2.26646,,1.1719236270786395,1.2233341367861368,1.482041336534257,1.7797052169122514,1.5704716533546415,0.3035242169960785,1.2130178158066356,1.671892149719133
